	mpg	cylinders	displacement	horsepower	weight	acceleration	model year	origin	car name
0	39.4	4	85.0	70	2070	18.6	78	3	datsun b210 gx
3	18.0	6	171.0	97	2984	14.5	75	1	ford pinto
9	32.7	6	168.0	132	2910	11.4	80	3	datsun 280-zx
11	38.1	4	89.0	60	1968	18.8	80	3	toyota corolla tercel
13	28.0	4	98.0	80	2164	15.0	72	1	dodge colt (sw)
16	17.5	6	250.0	110	3520	16.4	77	1	chevrolet concours
18	15.0	6	250.0	72	3432	21.0	75	1	mercury monarch
19	15.5	8	304.0	120	3962	13.9	76	1	amc matador
23	15.0	8	390.0	190	3850	8.5	70	1	amc ambassador dpl
24	23.0	4	140.0	78	2592	18.5	75	1	pontiac astro
25	27.2	4	141.0	71	3190	24.8	79	2	peugeot 504
28	18.5	6	250.0	110	3645	16.2	76	1	pontiac ventura sj
31	20.5	6	225.0	100	3430	17.2	78	1	plymouth volare
32	14.0	8	440.0	215	4312	8.5	70	1	plymouth fury iii
35	27.9	4	156.0	105	2800	14.4	80	1	dodge colt
36	21.0	6	155.0	107	2472	14.0	73	1	mercury capri v6
38	32.2	4	108.0	75	2265	15.2	80	3	toyota corolla
39	27.0	4	97.0	88	2100	16.5	72	3	toyota corolla 1600 (sw)
40	15.5	8	350.0	170	4165	11.4	77	1	chevrolet monte carlo landau
41	16.0	8	400.0	180	4220	11.1	77	1	pontiac grand prix lj
42	30.7	6	145.0	76	3160	19.6	81	2	volvo diesel
43	29.5	4	97.0	71	1825	12.2	76	2	volkswagen rabbit
44	14.0	8	400.0	175	4385	12.0	72	1	pontiac catalina
47	21.5	4	121.0	110	2600	12.8	77	2	bmw 320i
48	26.0	4	96.0	69	2189	18.0	72	2	renault 12 (sw)
50	40.9	4	85.0	?	1835	17.3	80	2	renault lecar deluxe
53	24.0	4	119.0	97	2545	17.0	75	3	datsun 710
57	16.0	8	318.0	150	4498	14.5	75	1	plymouth grand fury
58	22.3	4	140.0	88	2890	17.3	79	1	ford fairmont 4
62	18.0	6	225.0	105	3121	16.5	73	1	plymouth valiant
67	26.6	4	151.0	84	2635	16.4	81	1	buick skylark
69	18.0	6	225.0	105	3613	16.5	74	1	plymouth satellite sebring
70	24.0	4	121.0	110	2660	14.0	73	2	saab 99le
71	16.0	6	258.0	110	3632	18.0	74	1	amc matador
72	27.0	4	151.0	90	2735	18.0	82	1	pontiac phoenix
75	38.0	4	91.0	67	1965	15.0	82	3	honda civic
77	21.0	6	199.0	90	2648	15.0	70	1	amc gremlin
79	13.0	8	350.0	150	4699	14.5	74	1	buick century luxus (sw)
80	22.0	6	146.0	97	2815	14.5	77	3	datsun 810
82	38.0	4	91.0	67	1995	16.2	82	3	datsun 310 gx
83	37.3	4	91.0	69	2130	14.7	79	2	fiat strada custom
84	22.0	6	250.0	105	3353	14.5	76	1	chevrolet nova
86	16.0	8	400.0	170	4668	11.5	75	1	pontiac catalina
87	16.0	6	225.0	105	3439	15.5	71	1	plymouth satellite custom
88	15.0	6	250.0	100	3336	17.0	74	1	chevrolet nova
91	44.0	4	97.0	52	2130	24.6	82	2	vw pickup
93	24.0	4	113.0	95	2372	15.0	70	3	toyota corona mark ii
94	36.0	4	135.0	84	2370	13.0	82	1	dodge charger 2.2
95	31.0	4	112.0	85	2575	16.2	82	1	pontiac j2000 se hatchback
98	22.0	4	121.0	76	2511	18.0	72	2	volkswagen 411 (sw)
99	14.0	8	400.0	175	4464	11.5	71	1	pontiac catalina brougham
104	22.0	4	121.0	98	2945	14.5	75	2	volvo 244dl
105	28.0	4	107.0	86	2464	15.5	76	2	fiat 131
109	13.0	8	400.0	175	5140	12.0	71	1	pontiac safari (sw)
110	16.5	8	351.0	138	3955	13.2	79	1	mercury grand marquis
111	12.0	8	350.0	160	4456	13.5	72	1	oldsmobile delta 88 royale
115	30.0	4	88.0	76	2065	14.5	71	2	fiat 124b
117	20.3	5	131.0	103	2830	15.9	78	2	audi 5000
118	32.9	4	119.0	100	2615	14.8	81	3	datsun 200sx
119	33.5	4	151.0	90	2556	13.2	79	1	pontiac phoenix
121	13.0	8	350.0	165	4274	12.0	72	1	chevrolet impala
123	20.5	6	231.0	105	3425	16.9	77	1	buick skylark
125	19.0	3	70.0	97	2330	13.5	72	3	mazda rx2 coupe
127	12.0	8	455.0	225	4951	11.0	73	1	buick electra 225 custom
128	20.0	6	225.0	100	3651	17.7	76	1	dodge aspen se
129	26.0	4	97.0	75	2265	18.2	77	3	toyota corolla liftback
130	13.0	8	302.0	130	3870	15.0	76	1	ford f108
131	17.0	6	250.0	100	3329	15.5	71	1	chevrolet chevelle malibu
139	25.0	6	181.0	110	2945	16.4	82	1	buick century limited
143	14.0	8	304.0	150	3672	11.5	73	1	amc matador
147	31.0	4	119.0	82	2720	19.4	82	1	chevy s-10
148	14.0	8	351.0	153	4154	13.5	71	1	ford galaxie 500
149	22.4	6	231.0	110	3415	15.8	81	1	buick century
151	24.0	4	140.0	92	2865	16.4	82	1	ford fairmont futura
152	14.0	8	350.0	165	4209	12.0	71	1	chevrolet impala
157	23.9	8	260.0	90	3420	22.2	79	1	oldsmobile cutlass salon brougham
160	19.0	6	232.0	90	3211	17.0	75	1	amc pacer
161	28.8	6	173.0	115	2595	11.3	79	1	chevrolet citation
163	23.0	8	350.0	125	3900	17.4	79	1	cadillac eldorado
165	25.1	4	140.0	88	2720	15.4	78	1	ford fairmont (man)
166	34.5	4	100.0	?	2320	15.8	81	2	renault 18i
169	24.3	4	151.0	90	3003	20.1	80	1	amc concord
172	31.0	4	71.0	65	1773	19.0	71	3	toyota corolla 1200
174	31.5	4	89.0	71	1990	14.9	78	2	volkswagen scirocco
177	19.4	6	232.0	90	3210	17.2	78	1	amc concord
178	17.0	8	260.0	110	4060	19.0	77	1	oldsmobile cutlass supreme
180	9.0	8	304.0	193	4732	18.5	70	1	hi 1200d
182	26.0	4	97.0	78	2300	14.5	74	2	opel manta
183	18.5	6	250.0	98	3525	19.0	77	1	ford granada
184	12.0	8	400.0	167	4906	12.5	73	1	ford country
185	15.0	8	429.0	198	4341	10.0	70	1	ford galaxie 500
187	18.0	6	232.0	100	2789	15.0	73	1	amc gremlin
188	28.0	4	112.0	88	2605	19.6	82	1	chevrolet cavalier
189	25.0	4	110.0	87	2672	17.5	70	2	peugeot 504
192	34.7	4	105.0	63	2215	14.9	81	1	plymouth horizon 4
193	33.0	4	91.0	53	1795	17.4	76	3	honda civic
195	14.0	8	454.0	220	4354	9.0	70	1	chevrolet impala
197	24.0	4	113.0	95	2278	15.5	72	3	toyota corona hardtop
201	18.0	6	250.0	88	3021	16.5	73	1	ford maverick
202	37.2	4	86.0	65	2019	16.4	80	3	datsun 310
203	31.5	4	98.0	68	2045	18.5	77	3	honda accord cvcc
204	19.4	8	318.0	140	3735	13.2	78	1	dodge diplomat
205	21.1	4	134.0	95	2515	14.8	78	3	toyota celica gt liftback
207	28.0	4	120.0	79	2625	18.6	82	1	ford ranger
208	18.0	6	250.0	78	3574	21.0	76	1	ford granada ghia
209	27.0	4	97.0	88	2130	14.5	71	3	datsun pl510
211	16.2	6	163.0	133	3410	15.8	78	2	peugeot 604sl
213	34.0	4	112.0	88	2395	18.0	82	1	chevrolet cavalier 2-door
217	29.5	4	98.0	68	2135	16.6	78	3	honda accord lx
222	13.0	8	318.0	150	3940	13.2	76	1	plymouth volare premier v8
226	13.0	8	440.0	215	4735	11.0	73	1	chrysler new yorker brougham
227	26.0	4	98.0	79	2255	17.7	76	1	dodge colt
228	23.9	4	119.0	97	2405	14.9	78	3	datsun 200-sx
234	14.0	8	455.0	225	4425	10.0	70	1	pontiac catalina
237	33.7	4	107.0	75	2210	14.4	81	3	honda prelude
239	27.2	4	119.0	97	2300	14.7	78	3	datsun 510
240	16.5	6	168.0	120	3820	16.7	76	2	mercedes-benz 280s
242	16.0	6	250.0	100	3278	18.0	73	1	chevrolet nova custom
243	13.0	8	400.0	150	4464	12.0	73	1	chevrolet caprice classic
244	24.0	4	107.0	90	2430	14.5	70	2	audi 100 ls
247	13.0	8	400.0	170	4746	12.0	71	1	ford country squire (sw)
248	18.6	6	225.0	110	3620	18.7	78	1	dodge aspen
249	24.0	4	120.0	97	2489	15.0	74	3	honda civic
251	35.0	4	72.0	69	1613	18.0	71	3	datsun 1200
252	27.0	4	101.0	83	2202	15.3	76	2	renault 12tl
255	13.0	8	351.0	158	4363	13.0	73	1	ford ltd
256	23.0	4	140.0	83	2639	17.0	75	1	ford pinto
257	23.0	4	120.0	97	2506	14.5	72	3	toyouta corona mark ii (sw)
258	25.4	5	183.0	77	3530	20.1	79	2	mercedes benz 300d
262	17.5	6	258.0	95	3193	17.8	76	1	amc pacer d/l
264	35.1	4	81.0	60	1760	16.1	81	3	honda civic 1300
265	36.1	4	98.0	66	1800	14.4	78	1	ford fiesta
266	26.0	4	156.0	92	2585	14.5	82	1	chrysler lebaron medallion
267	13.0	8	400.0	190	4422	12.5	72	1	chrysler newport royal
268	12.0	8	383.0	180	4955	11.5	71	1	dodge monaco (sw)
270	26.0	4	122.0	80	2451	16.5	74	1	ford pinto
272	30.0	4	79.0	70	2074	19.5	71	2	peugeot 304
273	19.0	6	232.0	100	2901	16.0	74	1	amc hornet
275	17.5	8	318.0	140	4080	13.7	78	1	dodge magnum xe
276	14.0	8	302.0	140	4638	16.0	74	1	ford gran torino (sw)
277	15.5	8	318.0	145	4140	13.7	77	1	dodge monaco brougham
278	14.5	8	351.0	152	4215	12.8	76	1	ford gran torino
279	16.0	6	250.0	100	3781	17.0	74	1	chevrolet chevelle malibu classic
283	40.8	4	85.0	65	2110	19.2	80	3	datsun 210
285	18.2	8	318.0	135	3830	15.2	79	1	dodge st. regis
288	26.0	4	97.0	46	1835	20.5	70	2	volkswagen 1131 deluxe sedan
290	17.5	8	305.0	145	3880	12.5	77	1	chevrolet caprice classic
291	32.0	4	83.0	61	2003	19.0	74	3	datsun 710
292	23.0	4	97.0	54	2254	23.5	72	2	volkswagen type 3
297	19.8	6	200.0	85	2990	18.2	79	1	mercury zephyr 6
300	20.2	6	200.0	88	3060	17.1	81	1	ford granada gl
301	33.8	4	97.0	67	2145	18.0	80	3	subaru dl
305	10.0	8	360.0	215	4615	14.0	70	1	ford f250
306	31.0	4	79.0	67	2000	16.0	74	2	fiat x1.9
307	16.0	8	351.0	149	4335	14.5	77	1	ford thunderbird
311	26.0	4	97.0	46	1950	21.0	73	2	volkswagen super beetle
313	28.1	4	141.0	80	3230	20.4	81	2	peugeot 505s turbo diesel
314	17.6	6	225.0	85	3465	16.6	81	1	chrysler lebaron salon
315	13.0	8	350.0	155	4502	13.5	72	1	buick lesabre custom
316	22.0	6	198.0	95	2833	15.5	70	1	plymouth duster
318	20.6	6	225.0	110	3360	16.6	79	1	dodge aspen 6
321	26.5	4	140.0	72	2565	13.6	76	1	ford pinto
323	13.0	8	350.0	175	4100	13.0	73	1	buick century 350
325	28.0	4	97.0	92	2288	17.0	72	3	datsun 510 (sw)
329	33.5	4	85.0	70	1945	16.8	77	3	datsun f-10 hatchback
333	24.5	4	151.0	88	2740	16.0	77	1	pontiac sunbird coupe
335	34.5	4	105.0	70	2150	14.9	79	1	plymouth horizon tc3
336	11.0	8	429.0	208	4633	11.0	72	1	mercury marquis
337	28.0	4	97.0	75	2155	16.4	76	3	toyota corolla
338	21.6	4	121.0	115	2795	15.7	78	2	saab 99gle
339	19.9	8	260.0	110	3365	15.5	78	1	oldsmobile cutlass salon brougham
340	18.5	8	360.0	150	3940	13.0	79	1	chrysler lebaron town @ country (sw)
343	15.0	8	318.0	150	3399	11.0	73	1	dodge dart custom
344	18.0	4	121.0	112	2933	14.5	72	2	volvo 145e (sw)
345	22.0	4	108.0	94	2379	16.5	73	3	datsun 610
349	27.5	4	134.0	95	2560	14.2	78	3	toyota corona
351	23.6	4	140.0	?	2905	14.3	80	1	ford mustang cobra
353	34.2	4	105.0	70	2200	13.2	79	1	plymouth horizon
354	30.5	4	98.0	63	2051	17.0	77	1	chevrolet chevette
355	32.0	4	71.0	65	1836	21.0	74	3	toyota corolla 1200
359	15.0	8	318.0	150	4135	13.5	72	1	plymouth fury iii
360	20.2	8	302.0	139	3570	12.8	78	1	mercury monarch ghia
364	23.7	3	70.0	100	2420	12.5	80	3	mazda rx-7 gs
366	44.3	4	90.0	48	2085	21.7	80	2	vw rabbit c (diesel)
367	14.0	8	340.0	160	3609	8.0	70	1	plymouth 'cuda 340
368	21.0	6	200.0	85	2587	16.0	70	1	ford maverick
370	16.0	6	250.0	105	3897	18.5	75	1	chevroelt chevelle malibu
373	28.0	4	151.0	90	2678	16.5	80	1	chevrolet citation
375	15.0	8	302.0	130	4295	14.9	77	1	mercury cougar brougham
377	22.0	4	122.0	86	2395	16.0	72	1	ford pinto (sw)
380	14.0	8	302.0	137	4042	14.5	73	1	ford gran torino
381	30.0	4	97.0	67	1985	16.4	77	3	subaru dl
382	32.8	4	78.0	52	1985	19.4	78	3	mazda glc deluxe
383	26.4	4	140.0	88	2870	18.1	80	1	ford fairmont
384	27.0	4	97.0	88	2130	14.5	70	3	datsun pl510
385	26.0	4	79.0	67	1963	15.5	74	2	volkswagen dasher
387	29.0	4	135.0	84	2525	16.0	82	1	dodge aries se
395	31.3	4	120.0	75	2542	17.5	80	3	mazda 626
396	15.5	8	400.0	190	4325	12.2	77	1	chrysler cordoba
